scenario_id,pc_pct_vh,pc_pct_m,pc_pct_vl,ac_expert_vl,ac_expert_l,ac_expert_m,ac_expert_h,ac_expert_vh,pc_p_vh,pc_p_m,pc_p_vl,centroid_vh,centroid_m,centroid_vl,pc_mean_component_vh,pc_mean_component_m,pc_mean_component_vl,pc_mean,pc_mean_mapped_tier,pc_mean_onehot_PC_VL,pc_mean_onehot_PC_L,pc_mean_onehot_PC_M,pc_mean_onehot_PC_H,pc_mean_onehot_PC_VH,pc_dist_PC_VL,pc_dist_PC_L,pc_dist_PC_M,pc_dist_PC_H,pc_dist_PC_VH,ac_pred_dist_VL,ac_pred_mean_VL,ac_pred_dist_L,ac_pred_mean_L,ac_pred_dist_M,ac_pred_mean_M,ac_pred_dist_H,ac_pred_mean_H,ac_pred_dist_VH,ac_pred_mean_VH,brier_dist,brier_mean,delta_brier_mean_minus_dist,winner
S01,100,0,0,0.057,0.094,0.189,0.283,0.377,1.0,0.0,0.0,0.9,0.5,0.1,0.9,0.0,0.0,0.9,VH,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
S02,75,25,0,0.06,0.2,0.3,0.34,0.1,0.75,0.25,0.0,0.9,0.5,0.1,0.675,0.125,0.0,0.8,VH,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,,,,,,,,,,,,,,
S03,75,0,25,0.1,0.2,0.3,0.34,0.06,0.75,0.0,0.25,0.9,0.5,0.1,0.675,0.0,0.025,0.7000000000000001,H,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.75,,,,,,,,,,,,,,
S04,50,50,0,0.167,0.25,0.25,0.283,0.05,0.5,0.5,0.0,0.9,0.5,0.1,0.45,0.25,0.0,0.7,H,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,,,,,,,,,,,,,,
S05,50,0,50,0.2,0.3,0.34,0.1,0.06,0.5,0.0,0.5,0.9,0.5,0.1,0.45,0.0,0.05,0.5,M,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,
S06,50,25,25,0.1,0.2,0.3,0.34,0.06,0.5,0.25,0.25,0.9,0.5,0.1,0.45,0.125,0.025,0.6,H,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.5,,,,,,,,,,,,,,
S07,25,75,0,0.067,0.111,0.333,0.378,0.111,0.25,0.75,0.0,0.9,0.5,0.1,0.225,0.375,0.0,0.6,H,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,,,,,,,,,,,,,,
S08,25,50,25,0.222,0.333,0.378,0.067,0.0,0.25,0.5,0.25,0.9,0.5,0.1,0.225,0.25,0.025,0.5,M,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,,,,,,,,,,,,,,
S09,25,25,50,0.34,0.3,0.2,0.1,0.06,0.25,0.25,0.5,0.9,0.5,0.1,0.225,0.125,0.05,0.39999999999999997,L,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,,,,,,,,,,,,,,
S10,25,0,75,0.486,0.286,0.143,0.086,0.0,0.25,0.0,0.75,0.9,0.5,0.1,0.225,0.0,0.07500000000000001,0.30000000000000004,L,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,,,,,,,,,,,,,,
S11,0,100,0,0.079,0.132,0.447,0.263,0.079,0.0,1.0,0.0,0.9,0.5,0.1,0.0,0.5,0.0,0.5,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
S12,0,0,100,0.364,0.309,0.273,0.055,0.0,0.0,0.0,1.0,0.9,0.5,0.1,0.0,0.0,0.1,0.1,VL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
S13,0,50,50,0.263,0.132,0.447,0.079,0.079,0.0,0.5,0.5,0.9,0.5,0.1,0.0,0.25,0.05,0.3,L,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,
S14,0,25,75,0.34,0.3,0.2,0.1,0.06,0.0,0.25,0.75,0.9,0.5,0.1,0.0,0.125,0.07500000000000001,0.2,L,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,,,,,,,,,,,,,,
S15,0,75,25,0.106,0.213,0.362,0.319,0.0,0.0,0.75,0.25,0.9,0.5,0.1,0.0,0.375,0.025,0.4,M,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,,,,,,,,,,,,,,
